Speed,Steering,HR,Hour,Minute,Second,Millisecond
45,0,90,0,0,7,300
45,0,90,0,0,7,400
45,0,90,0,0,7,500
45,0,90,0,0,7,600
45,0,90,0,0,7,700
45,0,90,0,0,7,800
45,0,90,0,0,7,900
45,0,90,0,0,8,0
45,0,90,0,0,8,100
45,0,90,0,0,8,200
45,0,90,0,0,8,300
45,0,90,0,0,8,400
45,0,90,0,0,8,500
45,0,90,0,0,8,600
45,0,90,0,0,8,700
45,0,90,0,0,8,800
45,0,90,0,0,8,900
45,0,90,0,0,9,0
45,0,90,0,0,9,100
45,0,90,0,0,9,200
45,0,90,0,0,9,300
45,0,90,0,0,9,400
45,0,90,0,0,9,500
45,0,90,0,0,9,600
45,0,90,0,0,9,700
45,0,90,0,0,9,800
45,0,90,0,0,9,900
45,0,90,0,0,10,0
45,0,90,0,0,10,100
45,0,90,0,0,10,200
45,0,90,0,0,10,300
45,0,90,0,0,10,400
45,0,90,0,0,10,500
45,0,90,0,0,10,600
45,0,90,0,0,10,700
45,0,90,0,0,10,800
45,0,90,0,0,10,900
45,0,90,0,0,11,0
45,0,90,0,0,11,100
45,0,90,0,0,11,200
45,0,90,0,0,11,300
45,0,90,0,0,11,400
45,0,90,0,0,11,500
45,0,90,0,0,11,600
45,0,90,0,0,11,700
45,0,90,0,0,11,800
45,0,90,0,0,11,900
45,0,90,0,0,12,0
45,0,90,0,0,12,100
45,0,90,0,0,12,200
45,0,90,0,0,12,300
45,0,90,0,0,12,400
45,0,90,0,0,12,500
45,0,90,0,0,12,600
45,0,90,0,0,12,700
45,0,90,0,0,12,800
45,0,90,0,0,12,900
45,0,90,0,0,13,0
45,0,90,0,0,13,100
45,0,90,0,0,13,200
45,0,90,0,0,13,300
45,0,90,0,0,13,400
45,0,90,0,0,13,500
45,0,90,0,0,13,600
45,0,90,0,0,13,700
45,0,90,0,0,13,800
45,0,90,0,0,13,900
45,0,90,0,0,14,0
45,0,90,0,0,14,100
45,0,90,0,0,14,200
45,0,90,0,0,14,300
45,0,90,0,0,14,400
45,0,90,0,0,14,500
45,0,90,0,0,14,600
45,0,90,0,0,14,700
45,0,90,0,0,14,800
45,0,90,0,0,14,900
45,0,90,0,0,15,0
45,0,90,0,0,15,100
45,0,90,0,0,15,200
45,0,90,0,0,15,300
45,0,90,0,0,15,400
45,0,90,0,0,15,500
45,0,90,0,0,15,600
45,0,90,0,0,15,700
45,0,90,0,0,15,800
45,0,90,0,0,15,900
45,0,90,0,0,16,0
45,0,90,0,0,16,100
45,0,90,0,0,16,200
45,0,90,0,0,16,300
45,0,90,0,0,16,400
45,0,90,0,0,16,500
45,0,90,0,0,16,600
45,0,90,0,0,16,700
45,0,90,0,0,16,800
45,0,90,0,0,16,900
45,0,90,0,0,17,0
45,0,90,0,0,17,100
45,0,90,0,0,17,200
45,0,90,0,0,17,300
45,0,90,0,0,17,400
45,0,90,0,0,17,500
45,0,90,0,0,17,600
45,0,90,0,0,17,700
45,0,90,0,0,17,800
45,0,90,0,0,17,900
45,0,90,0,0,18,0
45,0,90,0,0,18,100
45,0,90,0,0,18,200
45,0,90,0,0,18,300
45,0,90,0,0,18,400
45,0,90,0,0,18,500
45,0,90,0,0,18,600
45,0,90,0,0,18,700
45,0,90,0,0,18,800
45,0,90,0,0,18,900
45,0,90,0,0,19,0
45,0,90,0,0,19,100
45,0,90,0,0,19,200
45,0,90,0,0,19,300
45,0,90,0,0,19,400
45,0,90,0,0,19,500
45,0,90,0,0,19,600
45,0,90,0,0,19,700
45,0,90,0,0,19,800
45,0,90,0,0,19,900
45,0,90,0,0,20,0
45,0,90,0,0,20,100
45,0,90,0,0,20,200
45,0,90,0,0,20,300
45,0,90,0,0,20,400
45,0,90,0,0,20,500
45,0,90,0,0,20,600
45,0,90,0,0,20,700
45,0,90,0,0,20,800
45,0,90,0,0,20,900
45,0,90,0,0,21,0
45,0,90,0,0,21,100
45,0,90,0,0,21,200
45,0,90,0,0,21,300
45,0,90,0,0,21,400
45,0,90,0,0,21,500
45,0,90,0,0,21,600
45,0,90,0,0,21,700
45,0,90,0,0,21,800
45,0,90,0,0,21,900
45,0,90,0,0,22,0
45,0,90,0,0,22,100
45,0,90,0,0,22,200
45,0,90,0,0,22,300
45,0,90,0,0,22,400
45,0,90,0,0,22,500
45,0,90,0,0,22,600
45,0,90,0,0,22,700
45,0,90,0,0,22,800
45,0,90,0,0,22,900
45,0,90,0,0,23,0
45,0,90,0,0,23,100
45,0,90,0,0,23,200
45,0,90,0,0,23,300
45,0,90,0,0,23,400
45,0,90,0,0,23,500
45,0,90,0,0,23,600
45,0,90,0,0,23,700
45,0,90,0,0,23,800
45,0,90,0,0,23,900
45,0,90,0,0,24,0
45,0,90,0,0,24,100
45,0,90,0,0,24,200
45,0,90,0,0,24,300
45,0,90,0,0,24,400
45,0,90,0,0,24,500
45,0,90,0,0,24,600
45,0,90,0,0,24,700
45,0,90,0,0,24,800
45,0,90,0,0,24,900
45,0,90,0,0,25,0
45,0,90,0,0,25,100
45,0,90,0,0,25,200
45,0,90,0,0,25,300
45,0,90,0,0,25,400
45,0,90,0,0,25,500
45,0,90,0,0,25,600
45,0,90,0,0,25,700
45,0,90,0,0,25,800
45,0,90,0,0,25,900
45,0,90,0,0,26,0
45,0,90,0,0,26,100
45,0,90,0,0,26,200
45,0,90,0,0,26,300
45,0,90,0,0,26,400
45,0,90,0,0,26,500
45,0,90,0,0,26,600
45,0,90,0,0,26,700
45,0,90,0,0,26,800
45,0,90,0,0,26,900
45,0,90,0,0,27,0
45,0,90,0,0,27,100
45,0,90,0,0,27,200
45,0,90,0,0,27,300
45,0,90,0,0,27,400
45,0,90,0,0,27,500
45,0,90,0,0,27,600
45,0,90,0,0,27,700
45,0,90,0,0,27,800
45,0,90,0,0,27,900
45,0,90,0,0,28,0
45,0,90,0,0,28,100
45,0,90,0,0,28,200
45,0,90,0,0,28,300
45,0,90,0,0,28,400
45,0,90,0,0,28,500
45,0,90,0,0,28,600
45,0,90,0,0,28,700
45,0,90,0,0,28,800
45,0,90,0,0,28,900
45,0,90,0,0,29,0
45,0,90,0,0,29,100
45,0,90,0,0,29,200
45,0,90,0,0,29,300
45,0,90,0,0,29,400
45,0,90,0,0,29,500
45,0,90,0,0,29,600
45,0,90,0,0,29,700
45,0,90,0,0,29,800
45,0,90,0,0,29,900
55,0,100,0,0,30,0
55,0,100,0,0,30,100
55,0,100,0,0,30,200
55,0,100,0,0,30,300
55,0,100,0,0,30,400
55,0,100,0,0,30,500
55,0,100,0,0,30,600
55,0,100,0,0,30,700
55,0,100,0,0,30,800
55,0,100,0,0,30,900
