Speed,Steering,HR,Hour,Minute,Second,Millisecond,Flag
45,0,90,0,0,6,800,
45,0,90,0,0,6,900,
45,0,90,0,0,7,0,
45,0,90,0,0,7,100,
45,0,90,0,0,7,200,
45,0,90,0,0,7,300,
45,0,90,0,0,7,400,
45,0,90,0,0,7,500,
45,0,90,0,0,7,600,
45,0,90,0,0,7,700,
45,0,90,0,0,7,800,
45,0,90,0,0,7,900,
45,0,90,0,0,8,0,
45,0,90,0,0,8,100,
45,0,90,0,0,8,200,
45,0,90,0,0,8,300,
45,0,90,0,0,8,400,
45,0,90,0,0,8,500,
45,0,90,0,0,8,600,
45,0,90,0,0,8,700,
45,0,90,0,0,8,800,
45,0,90,0,0,8,900,
45,0,90,0,0,9,0,
45,0,90,0,0,9,100,
45,0,90,0,0,9,200,
45,0,90,0,0,9,300,
45,0,90,0,0,9,400,
45,0,90,0,0,9,500,
45,0,90,0,0,9,600,
45,0,90,0,0,9,700,
45,0,90,0,0,9,800,
45,0,90,0,0,9,900,
45,0,90,0,0,10,0,
45,0,90,0,0,10,100,
45,0,90,0,0,10,200,
45,0,90,0,0,10,300,
45,0,90,0,0,10,400,
45,0,90,0,0,10,500,
45,0,90,0,0,10,600,
45,0,90,0,0,10,700,
45,0,90,0,0,10,800,
45,0,90,0,0,10,900,
45,0,90,0,0,11,0,
45,0,90,0,0,11,100,
45,0,90,0,0,11,200,
45,0,90,0,0,11,300,
45,0,90,0,0,11,400,
45,0,90,0,0,11,500,
45,0,90,0,0,11,600,
45,0,90,0,0,11,700,
45,0,90,0,0,11,800,
45,0,90,0,0,11,900,
45,0,90,0,0,12,0,
45,0,90,0,0,12,100,
45,0,90,0,0,12,200,
45,0,90,0,0,12,300,
45,0,90,0,0,12,400,
45,0,90,0,0,12,500,
45,0,90,0,0,12,600,
45,0,90,0,0,12,700,
45,0,90,0,0,12,800,
45,0,90,0,0,12,900,
45,0,90,0,0,13,0,
45,0,90,0,0,13,100,
45,0,90,0,0,13,200,
45,0,90,0,0,13,300,
45,0,90,0,0,13,400,
45,0,90,0,0,13,500,
45,0,90,0,0,13,600,
45,0,90,0,0,13,700,
45,0,90,0,0,13,800,
45,0,90,0,0,13,900,
45,0,90,0,0,14,0,
45,0,90,0,0,14,100,
45,0,90,0,0,14,200,
45,0,90,0,0,14,300,
45,0,90,0,0,14,400,
45,0,90,0,0,14,500,
45,0,90,0,0,14,600,
45,0,90,0,0,14,700,
45,0,90,0,0,14,800,
45,0,90,0,0,14,900,
45,0,90,0,0,15,0,
45,0,90,0,0,15,100,
45,0,90,0,0,15,200,
45,0,90,0,0,15,300,
45,0,90,0,0,15,400,
45,0,90,0,0,15,500,
45,0,90,0,0,15,600,
45,0,90,0,0,15,700,
45,0,90,0,0,15,800,
45,0,90,0,0,15,900,
45,0,90,0,0,16,0,
45,0,90,0,0,16,100,
45,0,90,0,0,16,200,
45,0,90,0,0,16,300,
45,0,90,0,0,16,400,
45,0,90,0,0,16,500,
45,0,90,0,0,16,600,
45,0,90,0,0,16,700,
45,0,90,0,0,16,800,
45,0,90,0,0,16,900,
45,0,90,0,0,17,0,
45,0,90,0,0,17,100,
45,0,90,0,0,17,200,
45,0,90,0,0,17,300,
45,0,90,0,0,17,400,
45,0,90,0,0,17,500,
45,0,90,0,0,17,600,
45,0,90,0,0,17,700,
45,0,90,0,0,17,800,
45,0,90,0,0,17,900,
45,0,90,0,0,18,0,
45,0,90,0,0,18,100,
45,0,90,0,0,18,200,
45,0,90,0,0,18,300,
45,0,90,0,0,18,400,
45,0,90,0,0,18,500,
45,0,90,0,0,18,600,
45,0,90,0,0,18,700,
45,0,90,0,0,18,800,
45,0,90,0,0,18,900,
45,0,90,0,0,19,0,
45,0,90,0,0,19,100,
45,0,90,0,0,19,200,
45,0,90,0,0,19,300,
45,0,90,0,0,19,400,
45,0,90,0,0,19,500,
45,0,90,0,0,19,600,
45,0,90,0,0,19,700,
45,0,110,0,0,19,800,
45,0,110,0,0,19,900,
45,0,110,0,0,20,0,
45,0,110,0,0,20,100,
45,0,110,0,0,20,200,
45,0,110,0,0,20,300,
45,0,110,0,0,20,400,
45,0,110,0,0,20,500,
45,0,110,0,0,20,600,
45,0,110,0,0,20,700,
45,0,110,0,0,20,800,
45,0,110,0,0,20,900,
45,0,110,0,0,21,0,
45,0,110,0,0,21,100,
45,0,110,0,0,21,200,
45,0,110,0,0,21,300,
45,0,110,0,0,21,400,
45,0,110,0,0,21,500,
45,0,110,0,0,21,600,
45,0,110,0,0,21,700,
45,0,110,0,0,21,800,
45,0,110,0,0,21,900,
45,0,110,0,0,22,0,
45,0,110,0,0,22,100,
45,0,110,0,0,22,200,
45,0,110,0,0,22,300,
45,0,110,0,0,22,400,
45,0,110,0,0,22,500,
45,0,110,0,0,22,600,
45,0,110,0,0,22,700,
45,0,90,0,0,5,800,
45,0,90,0,0,5,900,
45,0,90,0,0,6,0,
45,0,90,0,0,6,100,
45,0,90,0,0,6,200,
45,0,90,0,0,6,300,
45,0,90,0,0,6,400,
45,0,90,0,0,6,500,
45,0,90,0,0,6,600,
45,0,90,0,0,6,700,
45,0,90,0,0,6,800,
45,0,90,0,0,6,900,
45,0,90,0,0,7,0,
45,0,90,0,0,7,100,
45,0,90,0,0,7,200,
45,0,90,0,0,7,300,
45,0,90,0,0,7,400,
45,0,90,0,0,7,500,
45,0,90,0,0,7,600,
45,0,90,0,0,7,700,
45,0,90,0,0,7,800,
45,0,90,0,0,7,900,
45,0,90,0,0,8,0,
45,0,90,0,0,8,100,
45,0,90,0,0,8,200,
45,0,90,0,0,8,300,
45,0,90,0,0,8,400,
45,0,90,0,0,8,500,
45,0,90,0,0,8,600,
45,0,90,0,0,8,700,
45,0,90,0,0,8,800,
45,0,90,0,0,8,900,
45,0,90,0,0,9,0,
45,0,90,0,0,9,100,
45,0,90,0,0,9,200,
45,0,90,0,0,9,300,
45,0,90,0,0,9,400,
45,0,90,0,0,9,500,
45,0,90,0,0,9,600,
45,0,90,0,0,9,700,
45,0,90,0,0,9,800,
45,0,90,0,0,9,900,
45,0,90,0,0,10,0,
45,0,90,0,0,10,100,
45,0,90,0,0,10,200,
45,0,90,0,0,10,300,
45,0,90,0,0,10,400,
45,0,90,0,0,10,500,
45,0,90,0,0,10,600,
45,0,90,0,0,10,700,
45,0,90,0,0,10,800,
45,0,90,0,0,10,900,
45,0,90,0,0,11,0,
45,0,90,0,0,11,100,
45,0,90,0,0,11,200,
45,0,90,0,0,11,300,
45,0,90,0,0,11,400,
45,0,90,0,0,11,500,
45,0,90,0,0,11,600,
45,0,90,0,0,11,700,
45,0,90,0,0,11,800,
45,0,90,0,0,11,900,
45,0,90,0,0,12,0,
45,0,90,0,0,12,100,
45,0,90,0,0,12,200,
45,0,90,0,0,12,300,
45,0,90,0,0,12,400,
45,0,90,0,0,12,500,
45,0,90,0,0,12,600,
45,0,90,0,0,12,700,
45,0,90,0,0,12,800,
45,0,90,0,0,12,900,
45,0,90,0,0,13,0,
45,0,90,0,0,13,100,
45,0,90,0,0,13,200,
45,0,90,0,0,13,300,
45,0,90,0,0,13,400,
45,0,90,0,0,13,500,
45,0,90,0,0,13,600,
45,0,90,0,0,13,700,
45,0,90,0,0,13,800,
45,0,90,0,0,13,900,
45,0,90,0,0,14,0,
45,0,90,0,0,14,100,
45,0,90,0,0,14,200,
45,0,90,0,0,14,300,
45,0,90,0,0,14,400,
45,0,90,0,0,14,500,
45,0,90,0,0,14,600,
45,0,90,0,0,14,700,
45,0,90,0,0,14,800,
45,0,90,0,0,14,900,
45,0,90,0,0,15,0,
45,0,90,0,0,15,100,
45,0,90,0,0,15,200,
45,0,90,0,0,15,300,
45,0,90,0,0,15,400,
45,0,90,0,0,15,500,
45,0,90,0,0,15,600,
45,0,90,0,0,15,700,
45,0,90,0,0,15,800,
45,0,90,0,0,15,900,
45,0,90,0,0,16,0,
45,0,90,0,0,16,100,
45,0,90,0,0,16,200,
45,0,90,0,0,16,300,
45,0,90,0,0,16,400,
45,0,90,0,0,16,500,
45,0,90,0,0,16,600,
45,0,90,0,0,16,700,
45,0,90,0,0,16,800,
45,0,90,0,0,16,900,
45,0,90,0,0,17,0,
45,0,90,0,0,17,100,
45,0,90,0,0,17,200,
45,0,90,0,0,17,300,
45,0,90,0,0,17,400,
45,0,90,0,0,17,500,
45,0,90,0,0,17,600,
45,0,90,0,0,17,700,
45,0,90,0,0,17,800,
45,0,90,0,0,17,900,
45,0,90,0,0,18,0,
45,0,90,0,0,18,100,
45,0,90,0,0,18,200,
45,0,90,0,0,18,300,
45,0,90,0,0,18,400,
45,0,90,0,0,18,500,
45,0,90,0,0,18,600,
45,0,90,0,0,18,700,
45,0,90,0,0,18,800,
45,0,90,0,0,18,900,
45,0,90,0,0,19,0,
45,0,90,0,0,19,100,
45,0,90,0,0,19,200,
45,0,90,0,0,19,300,
45,0,90,0,0,19,400,
45,0,90,0,0,19,500,
45,0,90,0,0,19,600,
45,0,90,0,0,19,700,
